"Coffee, instant, 200 grams",6.91,7.53,7.28,7.15,7.14,7.03,6.66,7.22,7,6.9,6.45
Tea (72 bags),4.36,4.35,4.16,4.34,4.28,4.24,4.1,4.36,4.31,4.17,4.31
"Cooking or salad oil, 1 litre",3.49,3.57,3.44,3.5,3.52,3.42,3.25,3.16,3.2,3.07,3.07
"Soup, canned, 284 millilitres",1.19,1.22,1.21,1.26,1.32,1.3,1.15,1.26,1.15,1.3,1.15
"Baby food, 128 millilitres",1.27,1.29,1.27,1.26,1.26,1.24,1.26,1.31,1.34,1.36,1.42
"Peanut butter, 500 grams",3.12,3.13,3.14,3.09,3.08,3.12,2.95,2.93,2.82,2.99,2.78
Paper towels (2 rolls),2.96,3.1,3.19,2.99,3.02,3.15,3.04,3.08,3.09,3.11,3.2
Facial tissue (200 tissues),3.29,3.64,3.44,3.59,3.63,3.39,3.38,3.39,3.42,3.96,2.77
Bathroom tissue (4 rolls),2.78,2.85,2.72,2.77,2.78,2.78,2.6,2.55,2.39,2.53,2.44
"Shampoo, 300 millilitres",4.02,4.07,4.03,4.14,4.08,4.21,4.19,4.19,4.13,4.12,4.13
"Deodorant, 60 grams",4.54,4.57,4.69,4.6,4.43,4.5,4.38,4.54,4.5,4.38,4.17
"Toothpaste, 100 millilitres",2.88,2.99,2.99,3,3.03,3.08,3.12,3.13,3.08,3.18,3.11
Cigarettes (200),118.45,119.29,118.83,119.51,119.57,120.63,120.54,120.27,120.4,120.99,121.52
"Regular, unleaded gasoline at self-service stations, cents per litre",103.1,105.1,117.7,129.5,130.7,119.9,124.4,117.9,116.9,117.2,115
